Federal State	Average Rent (EUR/m²)
Baden-Württemberg	10.5
Bavaria	11.0
Berlin	12.5
Brandenburg	7.5
Bremen	8.0
Hamburg	12.0
Hesse	10.0
Lower Saxony	7.5
Mecklenburg-Vorpommern	6.5
North Rhine-Westphalia	8.5
Rhineland-Palatinate	8.0
Saarland	7.0
Saxony	6.5
Saxony-Anhalt	6.0
Schleswig-Holstein	8.0
Thuringia	6.5
